"Date","Price","Open","High","Low","Vol.","Change %"
"14/06/2022","46.18","47.37","48.66","44.60","","-0.47%"
"13/06/2022","46.40","45.36","50.35","42.61","","56.86%"
"10/06/2022","29.58","29.99","33.50","28.23","","5.34%"
"09/06/2022","28.08","25.70","28.28","24.39","","6.73%"
"08/06/2022","26.31","29.17","29.51","26.23","","4.20%"
"07/06/2022","25.25","29.58","30.03","25.04","","-3.26%"
"06/06/2022","26.10","27.07","28.57","25.92","","17.15%"
"03/06/2022","22.28","25.25","25.34","22.27","","-4.46%"
"02/06/2022","23.32","26.34","26.84","22.99","","-15.99%"
"01/06/2022","27.76","28.96","31.98","27.06","","2.02%"
"31/05/2022","27.21","32.06","33.30","27.01","","22.13%"
"27/05/2022","22.28","24.28","24.30","21.60","","-12.28%"
"26/05/2022","25.40","27.54","27.66","24.99","","-20.23%"
"25/05/2022","31.84","37.62","37.98","31.27","","-3.60%"
"24/05/2022","33.03","35.30","37.75","32.86","","2.87%"
"23/05/2022","32.11","35.19","37.02","31.81","","9.18%"
"20/05/2022","29.41","30.95","36.99","29.41","","-5.31%"
"19/05/2022","31.06","33.96","35.90","30.55","","-7.78%"
"18/05/2022","33.68","32.26","36.14","31.69","","19.14%"
"17/05/2022","28.27","30.52","31.23","27.17","","-4.81%"
"16/05/2022","29.70","34.76","35.57","29.29","","1.54%"
"13/05/2022","29.25","31.83","32.11","28.79","","-12.43%"
"12/05/2022","33.40","37.16","38.06","33.37","","-17.06%"
"11/05/2022","40.27","44.91","44.91","38.92","","169.91%"
"01/04/2022","14.92","17.55","17.58","14.57","","-17.93%"
"31/03/2022","18.18","18.20","19.56","17.33","","1.68%"
"30/03/2022","17.88","20.29","20.95","17.81","","-0.89%"
"29/03/2022","18.04","18.52","20.36","17.98","","2.21%"
"28/03/2022","17.65","21.86","22.53","17.47","","-0.17%"
"25/03/2022","17.68","20.83","22.16","17.67","","-12.82%"
"24/03/2022","20.28","23.34","23.99","20.18","","-10.46%"
"23/03/2022","22.65","24.88","25.03","21.89","","3.57%"
"22/03/2022","21.87","22.26","23.66","21.50","","-1.00%"
"21/03/2022","22.09","24.76","26.14","21.96","","2.98%"
"18/03/2022","21.45","25.92","25.96","21.20","","-13.47%"
"17/03/2022","24.79","26.83","26.90","24.28","","-13.29%"
"16/03/2022","28.59","33.97","35.30","27.41","","-14.27%"
"15/03/2022","33.35","39.42","40.03","33.33","","-12.76%"
"14/03/2022","38.23","36.30","40.11","35.02","","24.85%"
"11/03/2022","30.62","29.51","31.06","28.36","","1.96%"
"10/03/2022","30.03","33.95","34.00","29.93","","-15.72%"
"09/03/2022","35.63","38.54","39.49","34.54","","-5.64%"
"08/03/2022","37.76","40.63","42.55","35.63","","-6.00%"
"07/03/2022","40.17","36.20","40.19","35.62","","31.66%"
"04/03/2022","30.51","34.69","36.61","29.21","","1.94%"
"03/03/2022","29.93","29.01","32.99","29.00","","-6.82%"
"02/03/2022","32.12","37.24","38.13","30.49","","-11.39%"
"01/03/2022","36.25","37.06","41.58","35.09","","4.56%"
"28/02/2022","34.67","38.67","39.81","31.75","","33.40%"
"25/02/2022","25.99","29.21","29.92","25.28","","-13.74%"
"24/02/2022","30.13","40.14","40.22","28.71","","-8.42%"
"23/02/2022","32.90","31.29","34.36","29.90","","8.72%"
"22/02/2022","30.26","32.56","36.63","29.99","","19.42%"
"18/02/2022","25.34","27.24","29.50","24.86","","-8.42%"
"17/02/2022","27.67","24.69","28.60","24.46","","27.04%"
"16/02/2022","21.78","28.48","30.32","21.38","","-16.23%"
"15/02/2022","26.00","29.07","29.07","25.39","","-10.22%"
"14/02/2022","28.96","33.15","38.46","28.89","","7.86%"
"11/02/2022","26.85","24.01","36.49","22.64","","12.20%"
"10/02/2022","23.93","21.21","25.19","19.07","","8.53%"
"09/02/2022","22.05","22.77","23.38","21.60","","3.38%"
"08/02/2022","21.33","24.09","25.22","21.08","","-5.07%"
"07/02/2022","22.47","25.28","25.60","21.70","","3.84%"
"04/02/2022","21.64","25.79","26.69","20.27","","-10.28%"
"03/02/2022","24.12","24.22","26.75","21.45","","-2.11%"
"02/02/2022","24.64","24.33","25.99","21.67","","14.02%"
"01/02/2022","21.61","26.16","29.02","21.61","","-18.73%"
"31/01/2022","26.59","32.75","33.35","25.88","","-5.27%"
